Année;Mois;Ponctualité en pourcents;Nombre de trains comptabilisés;Nombre de trains avec moins de 6 minutes de retard;Nombre de minutes de retard;Ponctualité après neutralisation
2016;2016-01;89.86934311677146;100033.0;89899.0;212787;95.99232253356392
2016;2016-03;90.7478171153442;104678.0;94993.0;209805;97.56421400529186
2016;2016-04;90.56748080387244;99369.0;89996.0;195684;96.48481920921012
2016;2016-06;86.85726102466008;96715.0;84004.0;261317;97.8359096313912
2016;2016-09;89.90631294895671;105244.0;94621.0;218103;95.91235604880089
2016;2016-10;86.16800152555302;104880.0;90373.0;286975;95.0858123569794
2017;2017-02;89.01135170275542;99985.0;88998.0;224076;92.56788518277742
2017;2017-03;89.49726231956198;112504.0;100688.0;238126;93.26690606556211
2017;2017-06;87.28014370181873;106888.0;93292.0;273664;92.02903974253425
2017;2017-10;83.56028052160649;107514.0;89839.0;330432;89.91759212753688
2017;2017-11;82.1561232070404;104994.0;86259.0;343014;88.61839724174715
2018;2018-07;88.30359429693503;105417.0;93087.0;244234;92.40350228141571
2018;2018-08;91.30600953663597;109892.0;100338.0;199761;94.42816583554763
2018;2018-12;90.00989653621232;111150.0;100046.0;218773;92.49212775528565
2019;2019-01;90.04911344599687;115447.0;103959.0;233743;92.66589863747001
2019;2019-03;91.5614589;114060.0;104435.0;203856;94.3713834823777
2019;2019-07;92.3945404;113190.0;104582.0;198515;94.40144889124481
2019;2019-12;90.6114965403503;108537.0;98347.0;203327;93.06503772906936
2020;2020-02;90.12855013080046;106651.0;96123.0;217472;94.20727419339715
2020;2020-08;94.59286426369847;109337.0;103425.0;138417;96.07269268408682
2020;2020-12;95.10970456675093;113122.0;107590.0;134224;96.2040982302293
2021;2021-01;93.95057271902871;113581.0;106710.0;156013;95.54767082522605
2021;2021-03;92.92960371321072;113756.0;105713.0;177301;95.22926263230072
2021;2021-05;94.29940678650597;111427.0;105075.0;147373;95.99468710456172
2021;2021-06;92.39263588953834;114284.0;105590.0;191581;94.86454796821953
2021;2021-11;90.83419438018343;109363.0;99339.0;205313;93.21708438868723
2021;2021-12;92.51190876123042;116091.0;107398.0;186859;94.30619083305338
2022;2022-02;91.06149705970297;100330.0;91362.0;197223;94.37855078241803
2022;2022-05;89.74816275318157;111580.0;100141.0;237698;92.93332138376053
2022;2022-06;88.15574246717377;111877.0;98626.0;261805;92.21913351269698
2022;2022-07;91.73769892079751;109340.0;100306.0;199307;94.15767331260288
2022;2022-08;91.82242149236531;111072.0;101989.0;196912;94.00659031979256
2023;2023-05;87.04083603948372;108703.0;94616.0;272652;90.68011002456234
2023;2023-08;91.57860034066559;109198.0;100002.0;198969;93.95318595578674
2023;2023-09;86.6790328886949;109977.0;95327.0;278705;90.43072642461605
2024;2024-02;88.19451295527314;111499.0;98336.0;254834;91.71831137498991
2024;2024-03;90.22812773779053;116426.0;105049.0;230645;93.0204593475684
2024;2024-04;89.59843862577179;109647.0;98242.0;225181;92.94189535509408
2016;2016-05;89.21380003935371;91478.0;81611.0;210082;98.22798924331533
2016;2016-08;91.75729378695358;103170.0;94666.0;184347;96.83725889308907
2016;2016-11;81.95069732076755;99954.0;81913.0;337994;87.29115393080818
2016;2016-12;89.22916044218702;107104.0;95568.0;229134;93.43908724230654
2017;2017-01;90.71788261260676;107831.0;97822.0;206171;93.17172241748662
2017;2017-04;92.55592813172514;99905.0;92468.0;165001;95.4847104749512
2017;2017-09;87.214797451844;105802.0;92275.0;264956;92.08521578042003
2018;2018-02;87.25489234391092;101945.0;88952.0;250288;90.77149443327285
2018;2018-04;89.20142103970218;105838.0;94409.0;224233;93.00156843477768
2018;2018-05;86.51808615736;110333.0;95458.0;287274;91.80027734222762
2018;2018-06;84.55070446379865;106322.0;89896.0;307281;90.7827166531856
2018;2018-09;83.90006363611211;108429.0;90972.0;314266;90.30600951783671
2019;2019-02;90.2479002191919;103106.0;93051.0;201277;93.2971893003317
2019;2019-05;89.3659899;113137.0;101106.0;246815;93.55560073185607
2019;2019-06;89.02352300119138;108277.0;96392.0;232656;92.17562363198094
2019;2019-09;90.81181008585598;112514.0;102176.0;212675;93.93764331549852
2019;2019-10;88.64360241625481;118365.0;104923.0;274515;92.08465340261057
2020;2020-01;92.20900638861475;115518.0;106518.0;188467;94.82591457608338
2020;2020-04;97.18624817001562;62159.0;60410.0;46729;97.9343297028588
2020;2020-05;95.34553155765855;104824.0;99945.0;117746;96.6353125238495
2020;2020-06;94.39475472460468;108898.0;102794.0;138825;96.19644070598174
2020;2020-07;95.87725903614458;111552.0;106953.0;117421;97.08207831325302
2020;2020-10;92.07955911997023;115587.0;106432.0;195455;94.6248280515975
2020;2020-11;92.77118855846678;104042.0;96521.0;165498;94.99432921320235
2021;2021-02;90.96289264923819;103241.0;93911.0;197684;94.25034627715732
2021;2021-04;93.88026940322308;106606.0;100082.0;146899;95.87265257114984
2021;2021-07;94.62160744360695;108657.0;102813.0;137363;96.45029772587131
2022;2022-03;89.94346337891457;117446.0;105635.0;247595;92.99167276876182
2022;2022-09;88.66151414017213;113860.0;100950.0;261218;91.84085719304409
2022;2022-10;85.23988566997575;110907.0;94537.0;308146;90.19358561677802
2022;2022-12;84.79616176948932;110676.0;93849.0;321269;88.76450178900575
2023;2023-01;89.10584479797366;115282.0;102723.0;247888;92.40644680002082
2023;2023-07;91.12832380862419;105865.0;96473.0;196968;93.78264771170831
2023;2023-10;85.49108902220081;114185.0;97618.0;308821;89.69566930857819
2023;2023-12;87.42427913738793;107302.0;93808.0;258986;90.68050921697638
2016;2016-02;90.87574462257784;102233.0;92905.0;203292;95.16594446020366
2016;2016-07;92.92881890707217;100153.0;93071.0;161023;98.22771160125009
2017;2017-05;86.55393203086521;109638.0;94896.0;283128;91.7464747623999
2017;2017-07;92.20758980752747;102664.0;94664.0;171279;94.63395153120861
2017;2017-08;92.76316414450872;105267.0;97649.0;165955;95.31192111487931
2017;2017-12;86.30821064291318;108335.0;93502.0;288679;89.89892463192875
2018;2018-01;88.58053053972922;114261.0;101213.0;259583;92.0480303865711
2018;2018-03;88.5166547683307;114862.0;101672.0;257576;92.2733366996918
2018;2018-10;84.44604134082935;118285.0;99887.0;330034;90.17204210170351
2018;2018-11;83.85994412953269;110613.0;92760.0;323770;89.12243588005026
2019;2019-04;90.97366057517824;109114.0;99265.0;203130;94.16023608336236
2019;2019-08;94.05088133416538;110571.0;103993.0;151128;95.65980229897532
2019;2019-11;86.421224937788;105687.0;91336.0;264763;90.59108499626255
2020;2020-03;92.91333774362627;98255.0;91292.0;149031;95.33560633046663
2020;2020-09;92.61283123140144;112912.0;104571.0;180956;94.80037551367437
2021;2021-08;94.45066411113002;111653.0;105457.0;140410;96.30193546075787
2021;2021-09;90.92216477563481;113342.0;103053.0;216004;94.16985759912477
2021;2021-10;89.59463129583068;114143.0;102266.0;236909;93.00964579518674
2022;2022-01;93.61996614711899;113432.0;106195.0;164396;95.23679385005995
2022;2022-04;90.5121098698058;104997.0;95035.0;207751;93.50457632122823
2022;2022-11;85.34956122233082;99253.0;84712.0;269619;89.47437357057217
2023;2023-02;86.17127136501989;102504.0;88329.0;274254;90.16916413018029
2023;2023-03;87.93150721279287;113063.0;99418.0;264898;91.37295136339917
2023;2023-04;88.5973872900501;101810.0;90201.0;232711;91.85345250957666
2023;2023-06;86.68081455727638;110735.0;95986.0;280513;90.47997471440827
2023;2023-11;81.97101681184931;99989.0;81962.0;324445;87.15058656452209
2024;2024-01;86.83229492069519;115882.0;100623.0;308712;90.4497678673133
2024;2024-05;88.8926663863366;111773.0;99358.0;244104;92.32820090719584
