Mois;Nombre de TGV ayant circulé sur le réseau;Nombre de TGV qui ont circulé avec moins de 6 min. sur le réseau Infrabel;Ponctualité des TGV sur le réseau
2016-03;406;392;95.3
2017-01;359;341;93.30000000000001
2017-02;328;319;95.39999999999999
2017-04;342;331;95.89999999999999
2017-07;360;346;95.0
2017-08;362;353;96.1
2018-01;516;495;95.5
2018-08;512;492;95.3
2018-09;496;467;92.7
2018-11;496;473;94.19999999999999
2019-01;372;342;90.60000000000001
2019-03;485;457;93.19587628865979
2019-04;496;473;94.19999999999999
2019-07;284;260;86.3
2019-11;231;210;86.58008658008657
2019-12;146;137;89.04109589041096
2020-03;162;148;90.12345679012346
2020-05;77;75;92.20779220779221
2020-07;316;304;86.07594936708861
2020-08;320;313;87.1875
2020-09;311;301;85.85209003215434
2021-01;270;266;81.11111111111111
2021-03;217;215;81.5668202764977
2021-04;183;171;80.32786885245902
2021-07;297;293;84.84848484848484
2021-09;292;282;83.56164383561644
2021-11;286;277;86.36363636363636
2022-01;505;483;94.25742574257426
2022-03;524;493;93.12977099236642
2022-04;531;492;90.77212806026365
2022-07;541;490;88.53974121996303
2022-10;548;498;89.05109489051095
2022-11;458;416;86.24454148471615
2022-12;410;360;84.39024390243902
2023-04;520;484;90.76923076923077
2023-07;541;490;85.76709796672827
2023-08;543;512;90.23941068139963
2023-11;523;479;86.80688336520076
2016-05;336;321;94.0
2016-06;307;285;90.2
2016-07;359;341;93.30000000000001
2016-12;361;345;94.19999999999999
2017-05;361;350;95.3
2017-09;351;333;92.9
2017-10;361;346;94.69999999999999
2017-11;351;327;90.0
2018-02;464;423;89.4
2018-06;374;339;88.0
2018-10;516;494;94.19999999999999
2018-12;400;370;90.0
2019-06;265;250;93.2
2019-09;271;265;97.7859778597786
2020-01;233;223;93.56223175965665
2020-02;276;262;93.10000000000001
2020-11;136;134;73.52941176470588
2020-12;222;218;82.43243243243244
2021-02;191;188;81.15183246073299
2021-05;219;211;81.7351598173516
2021-06;281;274;84.34163701067615
2021-08;296;294;86.82432432432432
2022-05;543;499;89.31860036832413
2022-06;529;496;90.54820415879017
2022-08;551;513;92.01451905626135
2022-09;534;496;91.57303370786516
2023-05;524;476;86.25954198473282
2023-12;540;507;91.2962962962963
2024-02;473;452;94.9260042283298
2016-01;395;384;96.7
2016-02;397;385;95.5
2016-04;347;340;97.1
2016-08;362;346;94.19999999999999
2016-09;351;345;96.0
2016-10;357;342;94.39999999999999
2016-11;347;334;95.39999999999999
2017-03;363;349;94.19999999999999
2017-06;351;329;90.9
2017-12;360;339;91.7
2018-03;497;461;90.10000000000001
2018-04;352;332;91.5
2018-05;370;332;88.6
2018-07;500;472;93.60000000000001
2019-02;436;405;91.5
2019-05;279;273;96.39999999999999
2019-08;281;281;98.2
2019-10;285;274;95.1
2020-06;247;236;93.92712550607287
2020-10;323;312;85.44891640866872
2021-10;297;284;83.83838383838383
2021-12;290;273;82.06896551724138
2022-02;461;425;90.23861171366593
2023-01;516;481;89.53488372093024
2023-02;472;435;89.61864406779661
2023-03;395;368;89.1139240506329
2023-06;527;478;88.04554079696395
2023-09;530;497;90.9433962264151
2023-10;541;498;87.24584103512015
2024-01;543;502;88.02946593001842
2024-03;547;527;94.3327239488117
2024-04;529;487;88.84688090737241
2024-05;542;506;91.14391143911439
